Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
DMM,King Fahad International Airport,3137143.996,Saudi Arabia,26.4666996,49.78329849
RGN,Yangon International,3084597.705,Myanmar,16.90640068,96.13890076
LUX,Findel,3068262.295,Luxembourg,49.62779999,6.206699848
LCY,City Airport,3039070.874,United Kingdom,51.51670075,-0.066699997
CLT,Charlotte-Douglas International Airport,3038130.613,United States,35.21920013,-80.93579865
BLR,Kempegowda International,2991221.555,India,13.20300007,77.70580292
TLS,Blagnac,2953247.143,France,43.63000107,1.363600016
KTM,Tribhuvan International,2947653.24,Nepal,27.70059967,85.36309815
MLE,Velana International,2920381.338,Maldives,4.201399803,73.5243988
GLA,Glasgow International,2864736.952,United Kingdom,55.87170029,-4.431900024
SDQ,Las Americas International,2853111.513,Dominican Republic,18.42919922,-69.66919708
GDN,Gdansk Lech Walesa,2823014.495,Poland,54.36669922,18.64999962
HER,Nikos Kazantzakis Airport,2804841.893,Greece,35.33969879,25.18029976
BOD,Bordeaux,2795582.272,France,44.82939911,-0.714399993
TAO,Liuting International,2745605.45,China,36.26679993,120.3830032
GDL,Miguel Hidalgo Intl,2732944.424,Mexico,20.52389908,-103.3125
MED,Mohammad Bin Abdulaziz Airport,2730444.283,Saudi Arabia,24.54500008,39.72109985
MSQ,Minsk International,2729413.029,Belarus,53.86669922,27.5333004
VNO,Vilnius International,2716587.349,Lithuania,54.63330078,25.2833004
COK,Kochi International Airport,2703224.377,India,9.944399834,76.27189636
PER,Perth International,2702574.427,Australia,-31.93169975,115.9682999
SIP,Simferopol International,2699519.662,Ukraine,45.01670075,34
CEB,Mactan International,2698878.378,Philippines,10.33170033,123.9067001
SKG,Makedonia,2687517.252,Greece,40.52080154,22.97220039
GYD,Heydar Aliyev,2681377.391,Azerbaijan,40.46659851,50.05250168
KHI,Jinnah Intl,2678222.967,Pakistan,24.90559959,67.1568985
IBZ,Ibiza,2670965.192,Spain,38.87360001,1.372799993
SJD,Los Cabos Intl,2669920.939,Mexico,23.15530014,-109.7249985
NTE,Nantes Atlantique Airport,2645045.186,France,47.15829849,-1.609699965
GIG,Galeao-A.C.Jobim Intl,2641539.789,Brazil,-22.80780029,-43.24330139
PEN,Penang International,2612266.041,Malaysia,5.289700031,100.2724991
XMN,Gaoqi International,2587901.582,China,24.4666996,118.1166992
