Code;Name;Country;Latitude;Longitude
PHL;Philadelphia Intl;United States;39.86809921;-75.24859619
MAA;Chennai International Airport;India;12.99330044;80.17690277
RAK;Menara;Morocco;31.60829926;-8.038299561
KHH;Kaohsiung Intl;Taiwan;22.57250023;120.3452988
HNL;Honolulu Intl;United States;21.32189941;-157.925293
MSP;Minneapolis International;United States;44.88610077;-93.21779633
MBJ;Sangster Intl;Jamaica;18.50189972;-77.91249847
AUA;Reina Beatrix;Aruba;12.50220013;-70.01390076
HGH;Xiaoshan International;China;30.23600006;120.4389038
GOT;Goteborg-Landvetter Airport;Sweden;57.66669846;12.2833004
KMG;Changshui International;China;25.10390091;102.9428024
LPA;Gran Canaria;Spain;27.93190002;-15.38329983
SAL;El Salvador Intl;El Salvador;13.43999958;-89.05999756
HAJ;Hannover;Germany;52.46110153;9.68500042
DMM;King Fahad International Airport;Saudi Arabia;26.4666996;49.78329849
RGN;Yangon International;Myanmar;16.90640068;96.13890076
LUX;Findel;Luxembourg;49.62779999;6.206699848
LCY;City Airport;United Kingdom;51.51670075;-0.066699997
CLT;Charlotte-Douglas International Airport;United States;35.21920013;-80.93579865
BLR;Kempegowda International;India;13.20300007;77.70580292
TLS;Blagnac;France;43.63000107;1.363600016
KTM;Tribhuvan International;Nepal;27.70059967;85.36309815
MLE;Velana International;Maldives;4.201399803;73.5243988
GLA;Glasgow International;United Kingdom;55.87170029;-4.431900024
SDQ;Las Americas International;Dominican Republic;18.42919922;-69.66919708
GDN;Gdansk Lech Walesa;Poland;54.36669922;18.64999962
HER;Nikos Kazantzakis Airport;Greece;35.33969879;25.18029976
BOD;Bordeaux;France;44.82939911;-0.714399993
TAO;Liuting International;China;36.26679993;120.3830032
GDL;Miguel Hidalgo Intl;Mexico;20.52389908;-103.3125
MED;Mohammad Bin Abdulaziz Airport;Saudi Arabia;24.54500008;39.72109985
MSQ;Minsk International;Belarus;53.86669922;27.5333004
VNO;Vilnius International;Lithuania;54.63330078;25.2833004
COK;Kochi International Airport;India;9.944399834;76.27189636
PER;Perth International;Australia;-31.93169975;115.9682999
SIP;Simferopol International;Ukraine;45.01670075;34
CEB;Mactan International;Philippines;10.33170033;123.9067001
SKG;Makedonia;Greece;40.52080154;22.97220039
GYD;Heydar Aliyev;Azerbaijan;40.46659851;50.05250168
KHI;Jinnah Intl;Pakistan;24.90559959;67.1568985
IBZ;Ibiza;Spain;38.87360001;1.372799993
SJD;Los Cabos Intl;Mexico;23.15530014;-109.7249985
NTE;Nantes Atlantique Airport;France;47.15829849;-1.609699965
GIG;Galeao-A.C.Jobim Intl;Brazil;-22.80780029;-43.24330139
PEN;Penang International;Malaysia;5.289700031;100.2724991
XMN;Gaoqi International;China;24.4666996;118.1166992
CTS;New Chitose;Japan;42.79579926;141.6692047
ACE;Lanzarote;Spain;28.94249916;-13.60470009
DEN;Denver International;United States;39.85829926;-104.6669006
GMP;Gimpo International;South Korea;37.5503006;126.7835999
EMA;East Midlands;United Kingdom;52.83000183;-1.329399943
NAS;Lynden Pindling Intl;Bahamas;25.04059982;-77.47190094
LAS;Mccarran Intl;United States;36.07970047;-115.1588974
TBS;Tbilisi International Airport;Georgia;41.66939926;44.95510101
MRU;Sir S. Ramgoolam International;Mauritius;-20.42749977;57.67639923
REP;Angkor International;Cambodia;13.40890026;103.8158035
ECN;Ercan;Cyprus;35.15969849;33.48830032
LIN;Linate;Italy;45.44169998;9.277799606
ISB;Benazir Bhutto Intl;Pakistan;33.5483017;72.82499695
NKG;Lukou International;China;31.99530029;118.8116989
TAS;Tashkent-Vostochny International;Uzbekistan;41.31669998;69.38330078
LPL;John Lennon Airport;United Kingdom;53.3382988;-2.866699934
NCL;Newcastle International Airport;United Kingdom;55.03779984;-1.686699987
PSA;Galileo Galilei;Italy;43.68059921;10.39280033
HRG;Hurghada International Airport;Egypt;27.18580055;33.7989006
HYD;Rajiv Gandhi International;India;17.25;78.41670227
LHE;Allama Iqbal Intl;Pakistan;31.52079964;74.40280151
OKA;Naha;Japan;26.1990757;127.6446762
CXR;Cam Rahn International;Vietnam;11.99359989;109.2249985
CNX;Chiang Mai Intl;Thailand;18.77190018;98.96829987
PVR;G. Diaz Ordaz Intl;Mexico;20.68190002;-105.2482987
GUA;La Aurora International;Guatemala;14.58189964;-90.52749634
BVA;Beauvais-Tille;France;49.4557991;2.112499952
BGW;Baghdad International Airport;Iraq;33.26670075;44.5
SVQ;Sevilla Airport;Spain;37.41500092;-5.897500038
LOS;Murtala Muhammed International;Nigeria;6.588900089;3.326400042
CTA;Fontanarossa;Italy;37.40280151;14.92310047
BKI;Kota Kinabalu International;Malaysia;5.94080019;116.0500031
GUM;Antonio B. Won Pat International Airport;United States;13.48169994;144.7933044
TSN;Binhai International;China;39.1189003;117.3469009
TIA;Rinas;Albania;41.41690064;19.7166996
CKG;Jiangbei International;China;29.49580002;106.3597031
CCU;Subhas Chandra Bose Airport;India;22.65250015;88.44920349
XIY;Xianyang International;China;34.36669922;108.699997
SHA;Hongqiao International;China;31.19809914;121.3364029
LBA;Leeds/Bradford Airport;United Kingdom;53.86529923;-1.654700041
NUE;Nuremberg;Germany;49.49969864;11.08170033
